"4: Kazalniki bolniškega staleža po spolu in gospodarskih dejavnostih (SKD), Slovenija, letno po spremenljivkah: Leto, Spol, Gospodarske dejavnosti po SKD in Kazalnik",,,,,,,
,,,,,,,
,,Primeri,Koledarski dnevi,Odstotek BS (% BS),Izgubljeni koledarski dnevi na zaposlenega (IO),Število primerov na 100 zaposlenih (IF),Povpreèno trajanje ene odsotnosti (R)
,C24 Proizvodnja kovin,8005,151571,5,20,104,19
,"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav",24450,498227,5,17,82,20
,"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov",9675,133571,5,20,142,14
,C27 Proizvodnja elektriènih naprav,22163,397964,6,22,120,18
,C28 Proizvodnja drugih strojev in naprav,12897,242389,5,19,98,19
,"C29 Proizvodnja motornih vozil, prikolic in polprikolic",13015,233444,5,18,102,18
,C30 Proizvodnja drugih vozil in plovil,1266,18753,9,33,219,15
,C31 Proizvodnja pohištva,7622,167088,5,20,90,22
,C32 Druge raznovrstne predelovalne dejavnosti,2523,41463,4,14,82,16
,C33 Popravila in montaža strojev in naprav,2431,50548,2,8,40,21
,"D35 Oskrba z elektrièno energijo, plinom in paro",6765,110733,4,15,89,16
,"E36 Zbiranje, preèišèevanje in distribucija vode",3400,63173,4,16,85,19
,E37 Ravnanje z odplakami,263,6943,6,22,84,26
,"E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanj",3863,83346,5,18,82,22
,E39 Saniranje okolja in drugo ravnanje z odpadki,144,3729,6,22,84,26
,F41 Gradnja stavb,13292,332194,4,16,65,25
,F42 Gradnja inženirskih objektov,9973,196004,4,15,77,20
,F43 Specializirana gradbena dela,16569,445074,3,11,41,27
,G45 Trgovina z motornimi vozili in popravila motornih vozil,9176,177044,3,12,63,19
,"G46 Posredništvo in trgovina na debelo, razen z motornimi vozili",28837,474071,3,12,70,16
,"G47 Trgovina na drobno, razen z motornimi vozili",42266,853226,4,16,77,20
,"H49 Kopenski promet, cevovodni transport",11002,322079,3,12,39,29
,H50 Vodni promet,347,3679,4,14,131,11
,H51 Zraèni promet,773,11817,5,19,126,15
,H52 Skladišèenje in spremljajoèe prometne dejavnosti,9096,137441,4,13,87,15
,H53 Poštna in kurirska dejavnost,7542,144604,5,20,102,19
,I55 Gostinske nastanitvene dejavnosti,8310,201923,6,21,85,24
,I56 Dejavnost strežbe jedi in pijaè,10120,271795,3,13,47,27
,J58 Založništvo,2955,39005,3,12,87,13
,"J59 Dejavnosti v zvezi s filmi, video- in zvoènimi zapisi",497,6911,2,6,45,14
,J60 Radijska in televizijska dejavnost,2089,30477,3,12,80,15
,J61 Telekomunikacijske dejavnosti,5178,51421,3,11,112,10
,"J62 Raèunalniško programiranje, svetovanje in druge s tem…",5993,59748,2,6,62,10
,J63 Druge informacijske dejavnosti,1521,18008,3,12,99,12
,"K64 Dejavnosti finanènih storitev, razen zavarovalništva in deja",19850,206607,4,14,131,10
,"K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih sklado",7896,84507,4,14,129,11
,K66 Pomožne dejavnosti za finanène in zavarovalniške storitve,2239,33800,3,11,74,15
,L68 Poslovanje z nepremièninami,2480,49558,3,12,58,20
,M69 Pravne in raèunovodske dejavnosti,5164,83273,2,8,52,16
,"M70 Dejavnost uprav podjetij, podjetniško in poslovno svetovanje",5034,73986,2,8,53,15
,"M71 Arhitekturno in tehnièno projektiranje, tehnièno preizkušanj",9351,131385,2,9,63,14
,M72 Znanstvena raziskovalna in razvojna dejavnost,4287,43597,2,7,69,10
,M73 Oglaševanje in raziskovanje trga,2423,29759,3,10,78,12
,M74 Druge strokovne in tehniène dejavnosti,1306,24132,2,7,40,19
,M75 Veterinarstvo,730,8786,3,11,88,12
,N77 Dajanje v najem in zakup,360,4683,2,8,62,13
,N78 Zaposlovalne dejavnosti,5599,65407,3,10,89,12
,"N79 Dejavnost potovalnih agencij, organizatorjev potovanj in s p",1072,18688,3,10,59,17
,N80 Varovanje in poizvedovalne dejavnosti,5254,134645,5,18,72,26
,N81 Dejavnost oskrbe stavb in okolice,6199,165626,6,21,79,27
,N82 Pisarniške in spremljajoèe poslovne storitvene dejavnosti,2151,36561,4,16,93,17
,"O84* Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti*",78251,874405,5,17,148,11
,P85 Izobraževanje,74975,907919,4,13,109,12
,Q86 Zdravstvo,41620,633042,5,17,111,15
,Q87 Socialno varstvo z nastanitvijo,14487,245768,6,21,123,17
,Q88 Socialno varstvo brez nastanitve,5666,78413,5,17,123,14
,R90 Kulturne in razvedrilne dejavnosti,2523,40261,2,8,48,16
,"R91 Dejavnost knjižnic, arhivov, muzejev in druge kulturne dejav.",4014,42629,3,12,114,11
,R92 Prirejanje iger na sreèo,3158,47524,5,17,112,15
